rent,bedrooms,bathrooms,size_sqft,min_to_subway,no_fee,has_washer_dryer,has_elevator,neighborhood,borough,id
4875,1,1,900,1,1,1,1,East Village,Manhattan,42
3700,1,1,947,5,1,1,1,Upper East Side,Manhattan,47
5595,2,2,1170,4,1,1,1,Financial District,Manhattan,87
2499,0,1,400,2,1,1,1,Upper West Side,Manhattan,99
6650,2,2,1143,6,1,1,1,Upper West Side,Manhattan,103
4575,0,1,853,3,1,1,1,Tribeca,Manhattan,132
4950,1,1,812,4,1,1,1,Upper West Side,Manhattan,161
3500,0,1,525,5,1,1,1,Midtown South,Manhattan,193
4950,1,1,927,3,1,1,1,Financial District,Manhattan,208
3560,1,1,698,6,1,1,1,Upper West Side,Manhattan,305
6495,3,2,1195,3,1,1,1,Midtown,Manhattan,319
4506,2,1,1134,2,1,1,1,Upper West Side,Manhattan,369
4610,1,1,602,3,1,1,1,Chelsea,Manhattan,388
3395,1,1,620,9,1,1,1,Midtown East,Manhattan,420
3920,1,1,718,4,1,1,1,Chelsea,Manhattan,430
3950,1,1,737,1,1,1,1,Midtown West,Manhattan,456
14500,4,5,2700,8,1,1,1,Upper East Side,Manhattan,475
5600,1,1,909,1,1,1,1,Tribeca,Manhattan,479
18450,2,2,830,2,1,1,1,Upper East Side,Manhattan,481
6650,2,2,1171,3,1,1,1,Midtown East,Manhattan,500
1800,1,1,670,4,1,1,1,East Harlem,Manhattan,518
4950,2,1,900,5,1,1,1,Upper West Side,Manhattan,536
4500,2,1,900,3,1,1,1,Lower East Side,Manhattan,544
3375,1,1,658,6,1,1,1,Midtown West,Manhattan,550
3800,1,1,800,5,1,1,1,Upper West Side,Manhattan,582
4275,1,1,735,4,1,1,1,Upper West Side,Manhattan,592
3500,1,1,678,5,1,1,1,Upper East Side,Manhattan,607
5300,2,2,1050,7,1,1,1,Upper East Side,Manhattan,620
5250,2,2,1191,8,1,1,1,Upper East Side,Manhattan,714
4950,1,2,981,9,1,1,1,Midtown West,Manhattan,724
2900,0,1,525,3,1,1,1,Upper East Side,Manhattan,742
7000,3,2,1394,10,1,1,1,Upper East Side,Manhattan,757
6465,2,2,1168,5,1,1,1,Upper West Side,Manhattan,792
4150,1,1,640,3,1,1,1,Upper East Side,Manhattan,893
3875,1,1,653,4,1,1,1,Upper West Side,Manhattan,899
4846,2,1,805,9,1,1,1,Gramercy Park,Manhattan,905
2300,1,1,611,9,1,1,1,East Harlem,Manhattan,908
12000,3,2,1982,4,1,1,1,Upper West Side,Manhattan,912
6800,1,2,1233,3,1,1,1,Tribeca,Manhattan,916
3498,0,1,464,2,1,1,1,Flatiron,Manhattan,943
3285,1,1,586,2,1,1,1,Upper West Side,Manhattan,989
3325,1,1,628,6,1,1,1,Midtown West,Manhattan,1003
6776,2,2,808,3,1,1,1,Chelsea,Manhattan,1049
7600,2,2,1325,2,1,1,1,Financial District,Manhattan,1066
3200,2,1,900,3,1,1,1,Central Harlem,Manhattan,1091
3810,1,1,708,3,1,1,1,Stuyvesant Town/PCV,Manhattan,1118
7150,2,2,1295,4,1,1,1,Upper East Side,Manhattan,1150
10200,1,2,1881,3,1,1,1,Tribeca,Manhattan,1167
4370,1,1,822,3,1,1,1,Battery Park City,Manhattan,1247
6750,2,2,1267,5,1,1,1,Midtown East,Manhattan,1263
4116,1,1,586,2,1,1,1,Flatiron,Manhattan,1388
11000,4,3,2095,5,1,1,1,Upper West Side,Manhattan,1394
4500,1,0,900,5,1,1,1,Midtown East,Manhattan,1405
4915,1,1,753,5,1,1,1,Midtown East,Manhattan,1406
2390,0,1,490,4,1,1,1,Midtown East,Manhattan,1429
3553,1,1,668,4,1,1,1,Midtown West,Manhattan,1481
4250,1,1,721,3,1,1,1,Midtown West,Manhattan,1507
4100,1,1,763,3,1,1,1,Battery Park City,Manhattan,1525
3600,1,1,663,5,1,1,1,Upper West Side,Manhattan,1559
3940,0,1,490,3,1,1,1,Chelsea,Manhattan,1562
2745,0,2,342,2,1,1,1,Upper West Side,Manhattan,1574
5395,3,1,1200,7,1,1,1,Upper East Side,Manhattan,1591
3500,1,1,594,4,1,1,1,Upper West Side,Manhattan,1610
4175,1,1,713,4,1,1,1,Upper East Side,Manhattan,1663
5995,2,1,975,2,1,1,1,West Village,Manhattan,1677
3700,1,1,805,7,1,1,1,Upper West Side,Manhattan,1761
2650,0,1,435,2,1,1,1,Upper East Side,Manhattan,1794
3500,3,2,1800,5,1,1,1,Washington Heights,Manhattan,1799
4550,0,1,747,3,1,1,1,Tribeca,Manhattan,1825
2255,0,1,408,2,1,1,1,Upper West Side,Manhattan,1906
2500,0,1,468,8,1,1,1,Upper East Side,Manhattan,1935
4595,1,1,1037,7,1,1,1,Upper West Side,Manhattan,2057
6100,1,2,912,2,1,1,1,West Village,Manhattan,2066
3650,1,1,750,4,1,1,1,Upper West Side,Manhattan,2080
10000,3,3,1850,5,1,1,1,Upper West Side,Manhattan,2101
6756,2,2,1082,2,1,1,1,Flatiron,Manhattan,2111
4040,1,1,825,5,1,1,1,Upper West Side,Manhattan,2142
2400,0,1,550,4,1,1,1,Midtown East,Manhattan,2144
5500,2,2,1105,2,1,1,1,Financial District,Manhattan,2176
15000,3,2,2115,4,1,1,1,Upper East Side,Manhattan,2246
3460,0,1,538,3,1,1,1,Upper East Side,Manhattan,2258
4650,2,1,1100,4,1,1,1,Upper West Side,Manhattan,2273
4564,1,1,607,3,1,1,1,Chelsea,Manhattan,2274
7750,2,2,1342,2,1,1,1,Battery Park City,Manhattan,2320
7700,2,2,1309,3,1,1,1,Tribeca,Manhattan,2410
4500,2,1,900,8,1,1,1,Midtown East,Manhattan,2420
4232,1,1,556,3,1,1,1,Chelsea,Manhattan,2435
3620,1,1,660,10,1,1,1,Midtown West,Manhattan,2465
5195,3,1,1100,9,1,1,1,Midtown East,Manhattan,2482
14000,3,3,1948,5,1,1,1,Upper East Side,Manhattan,2578
4302,1,1,510,3,1,1,1,Chelsea,Manhattan,2636
5190,2,2,972,4,1,1,1,Upper West Side,Manhattan,2648
3600,1,1,800,4,1,1,1,Financial District,Manhattan,2838
3100,0,1,597,3,1,1,1,Upper West Side,Manhattan,2841
3225,1,1,684,2,1,1,1,Financial District,Manhattan,2977
3360,1,1,624,5,1,1,1,Upper West Side,Manhattan,2999
4300,1,1,650,2,1,1,1,Midtown,Manhattan,3048
3995,1,1,924,7,1,1,1,Midtown East,Manhattan,3078
5695,2,2,1000,4,1,1,1,Tribeca,Manhattan,3090
7950,2,2,1487,9,1,1,1,Midtown East,Manhattan,3103
2395,0,1,390,8,1,1,1,Midtown West,Manhattan,3111
3460,1,1,653,4,1,1,1,Upper West Side,Manhattan,3113
3950,1,1,841,2,1,1,1,Upper West Side,Manhattan,3240
3575,1,1,591,6,1,1,1,Upper West Side,Manhattan,3245
4600,2,1,1100,9,1,1,1,Upper East Side,Manhattan,3252
4745,1,1,719,2,1,1,1,Flatiron,Manhattan,3257
5995,3,3,1900,3,1,1,1,Midtown East,Manhattan,3295
4575,1,1,730,3,1,1,1,Upper East Side,Manhattan,3324
6995,2,2,1306,2,1,1,1,Battery Park City,Manhattan,3327
3500,1,1,725,7,1,1,1,Upper East Side,Manhattan,3348
4300,1,1,845,10,1,1,1,Upper East Side,Manhattan,3387
4975,2,1,1040,2,1,1,1,Central Park South,Manhattan,3413
3620,1,1,658,10,1,1,1,Midtown West,Manhattan,3416
5999,2,2,1500,2,1,1,1,Financial District,Manhattan,3429
4210,1,1,532,3,1,1,1,Chelsea,Manhattan,3459
6675,2,2,988,5,1,1,1,Tribeca,Manhattan,3463
3475,1,1,651,6,1,1,1,Midtown West,Manhattan,3466
5995,0,1,960,1,1,1,1,Financial District,Manhattan,3490
2450,0,1,450,8,1,1,1,Upper East Side,Manhattan,3523
4795,1,1,704,2,1,1,1,Financial District,Manhattan,3530
1800,1,1,670,4,1,1,1,East Harlem,Manhattan,3536
6900,2,2,1314,6,1,1,1,Midtown East,Manhattan,3539
